"cage","sex","replicate","vial","X16","X20","X24","X40","X44","X48","X64","X68","X72","X88","X92","X96","X112","X116","X120","X136","X140","X144","X160","X164","X168","X184","X188","X192","cage.treat","cage.treat2","timepoint"
"founder","F",1,"B-1-a1F",0,0,0,3,4,5,5,5,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",2,"B-1-a2F",0,0,0,3,3,4,4,4,5,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",3,"B-1-a3F",0,0,0,3,4,4,4,5,5,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",4,"B-1-a4F",0,0,0,0,1,1,2,2,3,7,7,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",1,"B-2-a1F",0,0,0,1,2,2,5,5,5,6,6,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",2,"B-2-a2F",0,0,0,4,5,5,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",3,"B-2-a3F",0,0,0,6,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",4,"B-2-a4F",0,0,0,6,7,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",1,"B-3-a1F",1,1,1,4,4,6,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",2,"B-3-a2F",0,0,0,1,2,3,5,5,6,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",3,"B-3-a3F",0,0,0,2,2,4,4,4,6,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",4,"B-3-a4F",0,0,0,2,2,3,3,3,5,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",1,"B-4-a1F",0,0,0,1,2,4,6,6,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",2,"B-4-a2F",0,0,0,3,4,4,5,5,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",3,"B-4-a3F",0,0,0,3,4,7,7,7,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",4,"B-4-a4F",0,0,0,3,4,4,5,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","0"
"founder","F",1,"B-0-Lb1F",0,0,0,3,3,4,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","0"
"founder","F",2,"B-0-Lb2F",1,1,1,3,3,4,4,5,6,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,"MA","LB","0"
"founder","F",3,"B-0-Lb3F",0,0,1,1,2,3,7,7,7,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,"MA","LB","0"
"founder","F",1,"B-0-At1F",0,0,0,2,2,3,3,3,3,5,5,6,8,8,8,8,9,10,10,10,10,10,10,10,"MA","AT","0"
"founder","F",2,"B-0-At2F",0,0,0,0,0,1,3,3,3,4,4,5,7,8,9,10,10,10,10,10,10,10,10,10,"MA","AT","0"
"founder","F",3,"B-0-At3F",0,0,0,2,2,3,4,4,4,5,5,7,8,8,8,8,9,10,10,10,10,10,10,10,"MA","AT","0"
"A1","F",1,"T2-A1-a1F",1,2,2,3,3,3,6,6,7,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A1","F",2,"T2-A1-a2F",1,2,2,4,5,5,5,6,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A1","F",3,"T2-A1-a3F",0,0,1,4,4,4,5,5,5,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A2","F",1,"T2-A2-a1F",1,1,3,5,6,6,6,6,6,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,"C","C","2"
"A2","F",2,"T2-A2-a2F",0,0,1,2,2,5,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A2","F",3,"T2-A2-a3F",3,3,5,5,6,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A3","F",1,"T2-A3-a1F",0,1,1,1,2,2,3,3,4,4,5,7,9,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A3","F",2,"T2-A3-a2F",1,1,2,5,5,5,6,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A3","F",3,"T2-A3-a3F",2,2,2,2,2,3,4,4,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A4","F",1,"T2-A4-a1F",0,2,2,5,6,6,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A4","F",2,"T2-A4-a2F",2,2,3,5,5,5,6,6,6,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,"C","C","2"
"A4","F",3,"T2-A4-a3F",0,1,2,4,4,5,6,7,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A5","F",1,"T2-A5-a1F",0,0,0,0,0,0,4,4,5,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A5","F",2,"T2-A5-a2F",0,0,0,0,0,0,2,2,4,6,6,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A5","F",3,"T2-A5-a3F",0,0,0,1,1,2,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A6","F",1,"T2-A6-a1F",0,0,0,0,1,1,5,6,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"A6","F",2,"T2-A6-a2F",0,0,0,0,0,0,2,2,2,6,6,7,8,9,9,10,10,10,10,10,10,10,10,10,"C","C","2"
